Country,total_population,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,major_ports_and_terminals,railway_coverage_km,roadway_coverage_km,total_air_assets,total_land_assets,total_naval_assets,total_assets,assets_per_capita,budget_to_gdp_ratio,power_score,computed_rank,power_index_rank_gap,region,alliance
Republic of the Congo,6097665,8500,0,2500,13,2,0,4,0,0,0,7,1,30,644,2,38,30,4,0,0,0,0,0,0,0,0,306400000,38163000000,715391000,56,5,510,23324,20,744,4,768,125.94985129553689,0.00802871891622776,61282934.0,123.0,122.0,Other,Non-NATO
Botswana,2450668,21000,0,0,45,11,0,9,9,0,0,16,0,45,1224,12,36,20,0,0,0,0,0,0,0,0,0,465600000,46742000000,4756000000,122,0,888,31747,61,1337,0,1398,570.4567081301914,0.009961062855675837,93126999.0,106.0,105.0,Other,Non-NATO
Mauritania,4328040,31540,66000,5000,24,0,4,7,7,2,0,4,0,25,628,0,75,0,6,0,0,0,0,0,0,6,0,261250000,30395000000,2629290500,25,2,728,12253,28,728,6,762,176.06121939723292,0.008595163678236551,52259843.0,127.0,126.0,Other,Non-NATO
Dominican Republic,10815857,50000,0,30000,79,0,8,11,17,1,0,50,0,5,540,0,11,0,34,0,0,0,0,0,0,14,0,810800000,261616000000,15547000000,32,17,496,19705,129,556,34,719,66.47647061162144,0.0030991988257598924,162175359.5,93.0,92.0,Other,Non-NATO
Senegal,18847519,17000,0,0,40,0,0,5,23,1,0,20,5,0,1740,0,20,6,4,0,0,0,0,0,0,4,0,465150000,77382000000,889295000,19,6,906,16665,60,1766,4,1830,97.095007571023,0.006011087849887571,93036015.0,107.0,106.0,Other,Non-NATO
Nepal,31122387,95000,0,15000,15,0,0,5,0,0,0,10,0,0,1108,0,14,0,0,0,0,0,0,0,0,0,0,409100000,144310000000,12456000000,51,0,59,27990,25,1122,0,1147,36.85449962433794,0.0028348693784214537,81849073.5,111.0,110.0,Other,Non-NATO
Montenegro,599849,2350,0,5500,11,0,0,0,0,0,0,11,0,0,471,0,12,12,14,0,0,0,0,0,0,2,0,148100000,17115000000,1574000000,5,4,250,7762,22,495,14,531,885.2227810665684,0.008653228162430616,29620970.5,136.0,135.0,Other,Non-NATO
El Salvador,6628702,25000,10000,15000,52,0,15,4,10,0,0,30,0,0,1844,0,76,0,14,0,0,0,0,0,0,10,0,334620000,71957000000,3799434000,27,3,13,9012,82,1920,14,2016,304.13194015962705,0.004650277248912545,66932508.0,120.0,119.0,Other,Non-NATO
Burkina Faso,23042199,12000,0,4500,25,0,3,2,0,2,0,18,5,0,491,0,8,9,0,0,0,0,0,0,0,0,0,81280000,57152000000,47138000,49,0,622,15304,43,508,0,551,23.91264826764147,0.0014221724524076148,16259875.5,142.0,141.0,Other,Non-NATO
Madagascar,29452714,13500,0,8100,5,0,0,0,0,0,0,5,0,6,158,0,9,0,6,0,0,0,0,0,0,4,0,112210000,51255000000,2632000000,91,13,836,31640,10,173,6,189,6.4170656734724005,0.002189249829284948,22446144.5,139.0,138.0,Other,Non-NATO
Nicaragua,6676948,45000,0,5500,17,0,0,5,1,0,0,11,0,89,1869,0,0,0,23,0,0,0,0,0,0,23,0,92000000,51088000000,5447000000,39,5,0,23897,28,1958,23,2009,300.8859736514347,0.001800814281240213,18414504.5,141.0,140.0,Other,Non-NATO
Bosnia and Herzegovina,3798671,12770,6000,0,22,0,0,0,0,0,0,22,0,45,720,0,457,79,0,0,0,0,0,0,0,0,0,216400000,63769000000,9205000000,13,1,965,22926,44,1301,0,1345,354.0712001644786,0.003393498408317521,43284503.5,131.0,130.0,Other,Non-NATO
Gabon,2455105,4800,0,2500,24,6,0,3,0,0,0,15,0,0,424,0,0,14,5,0,0,0,0,0,0,4,0,274820000,48201000000,1568196000,40,9,649,14300,39,438,5,482,196.32561540137795,0.005701541461795398,54965681.0,126.0,125.0,Other,Non-NATO
Moldova,3599528,8500,67000,2000,3,0,0,1,0,0,0,2,0,0,500,9,67,11,0,0,0,0,0,0,0,0,0,1710000000,38969000000,5453000000,11,0,1171,9352,5,587,0,592,164.4660077654626,0.04388103364212579,342002846.0,73.0,72.0,Other,Non-NATO
Iceland,364036,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,312400000,26155000000,5809000000,83,43,0,12898,0,150,0,150,412.0471601709721,0.011944178933282356,62480075.0,121.0,120.0,Other,Non-NATO
Panama,4470241,0,0,80000,38,0,0,13,0,2,0,23,0,0,262,0,0,0,30,0,0,0,0,0,0,27,0,917202000,159867000000,6757000000,76,12,77,11978,61,262,30,353,78.96665973937424,0.005737281615342754,183440576.5,90.0,89.0,Other,Non-NATO
Beliz,415789,1650,850,0,3,0,0,1,0,1,0,1,0,0,130,0,0,0,8,0,0,0,0,0,0,8,0,29538000,5257000000,473729000,27,2,0,3281,4,130,8,142,341.5193764144795,0.005618793988967092,5908166.0,144.0,143.0,Other,Non-NATO
Liberia,5437249,1500,0,5500,0,0,0,0,0,0,0,0,0,0,300,0,0,0,4,0,0,0,0,0,0,4,0,364800000,8884000000,599660000,99,4,429,10600,0,300,4,304,55.91062686295955,0.041062584421431784,72960602.0,117.0,116.0,Other,Non-NATO
Suriname,646758,2000,0,200,3,0,0,0,0,0,0,3,0,0,650,0,0,0,17,0,0,0,0,0,0,17,0,144000000,11824000000,1346000000,55,4,0,4304,6,650,17,673,1040.5746817202107,0.012178619756427604,28800936.5,137.0,136.0,Other,Non-NATO
Sierra Leone,9121049,13000,0,0,1,0,0,0,0,0,0,1,0,0,150,0,0,0,7,0,0,0,0,0,0,7,0,228600000,14633000000,495699000,8,3,0,11701,2,150,7,159,17.432205440404935,0.015622223740859701,45723979.5,129.0,128.0,Other,Non-NATO
Kosovo,1977093,10000,5000,500,0,0,0,0,0,0,0,0,0,0,737,0,0,0,0,0,0,0,0,0,0,0,0,260715150,23794000000,1245000000,4,0,437,2012,0,737,0,737,372.76951564746827,0.01095718038160881,52146398.5,128.0,127.0,Other,Non-NATO
Somalia,13017273,15000,0,2000,0,0,0,0,0,0,0,0,0,0,682,0,0,0,10,0,0,0,0,0,0,10,0,171002350,26351000000,16747500,38,6,0,15000,0,682,10,692,53.16013576729934,0.006489406474137604,34205316.0,134.0,133.0,Other,Non-NATO
Central African Republic,5650957,10000,0,1000,6,0,6,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,45990000,5849000000,374405000,43,0,0,24000,6,228,0,234,41.408915339472586,0.00786288254402462,9201117.0,143.0,142.0,Other,Non-NATO
Benin,14697052,4750,0,0,5,0,0,0,0,0,0,5,0,0,92,0,16,0,2,0,0,0,0,0,0,2,0,98350000,52510000000,698900000,10,1,438,16000,10,108,2,120,8.164902730152958,0.0018729765758903065,19671485.0,140.0,139.0,Other,Non-NATO
Bhutan,884546,7500,0,0,2,0,0,0,0,0,0,2,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,14000000,10981000000,976260000,4,0,0,12205,4,84,0,88,99.48606403737058,0.0012749294235497677,2802294.0,145.0,144.0,Other,Non-NATO
