Country,total_population,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,major_ports_and_terminals,railway_coverage_km,roadway_coverage_km,total_air_assets,total_land_assets,total_naval_assets,total_assets,assets_per_capita,budget_to_gdp_ratio,power_score,computed_rank,power_index_rank_gap,region,alliance
Ethiopia,118550298,162000,0,0,103,25,0,8,34,0,0,33,7,338,7256,35,309,40,0,0,0,0,0,0,0,0,0,2097575000,354604000000,3131288000,57,0,659,120171,136,7978,0,8114,68.44352259662814,0.005915260403153941,419567657.0,71.0,70.0,Other,Non-NATO
Czechia,10837890,28000,4200,0,99,12,16,10,17,2,0,42,4,43,6340,50,0,16,0,0,0,0,0,0,0,0,0,6750000000,519007000000,148379000000,243,0,9548,55744,141,6449,0,6590,608.0519363086357,0.013005604934037499,1350011695.0,43.0,42.0,Other,Non-NATO
United Arab Emirates,10032213,65000,130000,12000,551,99,16,37,147,27,4,247,30,354,8707,165,99,49,181,0,0,0,0,0,11,34,2,2212360382,719733000000,189491000000,42,20,0,4080,798,9374,181,10353,1031.9756966882583,0.0030738626435080785,442496752.90000004,70.0,69.0,Other,Non-NATO
Hungary,9855745,41600,20000,15000,69,12,0,3,12,0,0,44,8,209,7797,24,295,0,0,0,0,0,0,0,0,0,0,4576000000,388906000000,45719000000,109,0,7687,203601,113,8325,0,8438,856.1503975600018,0.01176633942392249,915216699.0,53.0,52.0,Other,Non-NATO
Angola,37202061,107000,0,10000,298,71,12,31,66,2,0,116,15,309,5500,25,575,113,31,0,0,0,0,0,0,29,0,1101360000,265868000000,13942000000,106,21,2761,26000,414,6522,31,6967,187.2745706212352,0.004142506807889629,220307583.5,85.0,84.0,Other,Non-NATO
Kazakhstan,20260006,110000,135000,55000,198,63,25,19,26,0,0,65,12,350,7736,126,194,287,26,0,0,0,0,0,0,23,2,2048700000,705520000000,35965000000,132,0,16636,96167,263,8693,26,8982,443.33649259531313,0.0029038156253543487,409777491.0,72.0,71.0,Other,Non-NATO
Uzbekistan,36520593,48000,0,20000,192,58,13,13,7,0,0,101,34,340,2970,147,236,108,0,0,0,0,0,0,0,0,0,2803500000,319174000000,34558000000,74,0,4642,86496,293,3801,0,4094,112.1011370215155,0.008783610193812779,560716447.0,63.0,62.0,Other,Non-NATO
Morocco,37387585,195800,150000,50000,260,83,0,31,75,4,2,78,0,903,7877,396,153,129,111,0,0,0,0,6,1,105,0,13400000000,337480000000,36328000000,49,12,2067,57300,338,9458,111,9907,264.9810090702569,0.039706056655209196,2680063693.5,27.0,26.0,Other,Non-NATO
Azerbaijan,10650239,126400,300000,15000,154,12,18,3,35,0,0,86,16,497,7642,198,650,268,38,0,0,4,0,0,0,17,4,5000000000,215896000000,13749000000,32,0,2944,24981,240,9255,38,9533,895.0972837323181,0.023159298921703042,1000042686.5,49.0,48.0,Other,Non-NATO
Belgium,11977634,25000,6400,0,108,43,0,7,38,0,0,20,0,0,4606,0,0,0,9,0,0,0,0,2,0,2,5,10200000000,751592000000,40813000000,49,7,3602,118414,128,4606,9,4743,395.98805573788616,0.013571192881244079,2040009871.5,31.0,30.0,Other,Non-NATO
Bulgaria,6782659,37000,3000,0,65,10,5,6,21,0,0,27,4,90,4914,48,24,24,36,0,0,0,0,4,3,0,10,1373232000,214061000000,46334000000,111,2,4029,19512,92,5100,36,5228,770.789155108638,0.006415143346989877,274660114.0,80.0,79.0,Other,Non-NATO
Serbia,6652212,25000,2000,600000,110,11,17,3,33,0,0,46,4,262,3683,90,150,98,20,0,0,0,0,0,0,7,5,2287461000,162213000000,27569000000,43,0,3333,44248,156,4283,20,4459,670.3033517272149,0.014101588651957611,457501929.5,68.0,67.0,Other,Non-NATO
Syria,23865423,170000,50000,50000,207,104,9,3,15,1,0,77,14,365,11148,90,641,204,27,0,0,0,0,0,0,16,4,291850000,55935900000,341962500,39,3,2052,69873,284,12448,27,12759,534.6228306952698,0.005217579407857923,58427379.5,124.0,123.0,Other,Non-NATO
Ecuador,18309984,41250,118000,1500,102,0,0,20,34,8,0,46,0,54,5204,5,106,24,30,0,0,2,0,2,6,5,0,2376000000,260213000000,4442000000,310,6,965,43950,148,5393,30,5571,304.2602331056106,0.009130981157743849,475215160.5,67.0,66.0,Other,Non-NATO
Democratic Republic of the Congo,115403027,166580,31000,10000,46,1,6,6,1,0,0,32,8,105,916,8,60,25,16,0,0,0,0,0,0,16,0,796560000,154012000000,3898125000,272,3,4007,152373,78,1114,16,1208,10.467663036256406,0.00517206451445342,159362578.0,95.0,94.0,Other,Non-NATO
Cuba,10966038,45500,40000,1145000,31,11,0,4,3,0,0,13,4,113,6864,60,130,15,19,0,0,0,0,1,1,6,4,4508784000,141400000000,10442000000,123,34,8367,60000,44,7182,19,7245,660.6761712844693,0.031886732673267325,901774072.5,54.0,53.0,Other,Non-NATO
Austria,8967982,16000,125600,0,85,15,0,11,18,0,0,41,0,56,7322,30,0,0,0,0,0,0,0,0,0,0,0,5475750000,590354000000,31212000000,61,0,6123,137039,126,7408,0,7534,840.0998128675993,0.00927536698319991,1095158567.0,47.0,46.0,Other,Non-NATO
Sri Lanka,21982608,346000,90000,0,85,5,0,14,8,3,0,55,9,44,3190,0,96,28,270,0,0,0,0,5,0,59,0,1265400000,287132000000,3450700000,18,6,1562,114093,140,3358,270,3768,171.40823327241245,0.004407032305699121,253185684.0,82.0,81.0,Other,Non-NATO
Belarus,9501451,63000,145000,55000,185,36,50,4,27,0,0,68,29,507,6916,357,215,206,0,0,0,0,0,0,0,0,0,1077900000,254407000000,8118000000,46,0,5528,86600,253,8201,0,8454,889.7588378869712,0.0042369117201963786,215603127.0,87.0,86.0,Other,Non-NATO
Slovakia,5563649,19500,0,0,41,2,0,7,9,1,0,22,0,45,3074,35,9,25,0,0,0,0,0,0,0,0,0,2656000000,213053000000,11288000000,114,0,3627,56926,63,3188,0,3251,584.3287382076044,0.012466381604577265,531207475.5,64.0,63.0,Other,Non-NATO
Qatar,2552088,66550,15000,5500,251,102,6,12,51,0,0,80,24,99,5024,46,12,16,115,0,0,0,0,0,4,105,0,9432000000,304973000000,51539000000,8,6,0,7039,331,5197,115,5643,2211.1306506672186,0.03092732799296987,1886422786.5,34.0,33.0,Other,Non-NATO
Sudan,50467278,92000,85000,17500,165,37,27,13,15,0,0,64,35,224,2900,100,287,192,6,0,0,0,0,0,0,6,0,342000000,136039000000,206763700,41,4,7251,31000,229,3703,6,3938,78.03075886121697,0.002513984960195238,68429569.0,118.0,117.0,Other,Non-NATO
Croatia,4150116,14325,20100,2000,67,10,0,0,28,0,0,37,0,45,2848,25,42,42,30,0,0,0,0,0,0,10,1,1176000000,159305000000,3176000000,40,16,2617,26958,104,3002,30,3136,755.6415290560553,0.007382065848529551,235205865.5,83.0,82.0,Other,Non-NATO
Jordan,11174024,100500,65000,35000,274,44,6,13,66,13,0,155,44,1458,16624,358,80,56,27,0,0,0,0,0,0,27,0,2500000000,106806000000,15715600000,17,1,509,7203,429,18576,27,19032,1703.2360052206798,0.02340692470460461,500039666.0,65.0,64.0,Other,Non-NATO
Libya,7361263,32000,0,100000,143,10,1,6,38,0,0,16,4,43,1816,15,28,25,5,0,0,0,0,0,1,1,1,3060000000,121951000000,92427000000,66,14,2000,37000,159,1927,5,2091,284.05451618832257,0.0250920451656813,612010645.5,60.0,59.0,Other,Non-NATO
Turkmenistan,5744151,36500,0,3500,91,24,27,5,9,0,0,26,10,654,5016,73,450,164,16,0,0,0,0,0,0,16,0,1078020000,94790000000,23415400000,23,0,5113,58592,117,6357,16,6490,1129.8449501066389,0.011372718641206878,215618195.0,86.0,85.0,Other,Non-NATO
Albania,3107100,6600,2000,500,19,0,0,0,0,0,0,19,0,46,1796,0,50,135,19,0,0,0,0,0,0,19,0,558862420,49592000000,6455000000,3,3,424,3945,38,2027,19,2084,670.7218950146439,0.011269205113728021,111775506.0,101.0,100.0,Other,Non-NATO
Kuwait,3138355,72000,24000,7500,128,43,0,2,13,0,3,67,16,367,5636,74,0,27,123,0,0,0,0,0,0,106,0,6950000000,219060000000,52619000000,6,6,0,5749,195,6104,123,6422,2046.2949538850764,0.03172646763443805,1390024811.0,41.0,40.0,Other,Non-NATO
Bolivia,12311974,40000,40000,0,64,0,0,15,19,0,0,33,0,54,890,0,106,0,67,0,0,0,0,0,0,50,0,550200000,119785000000,1800000000,200,0,3690,90568,97,1050,67,1214,98.60319718024095,0.004593229536252452,110052607.0,103.0,102.0,Other,Non-NATO
Bahrain,1566888,18400,110000,1500,132,24,0,3,40,0,0,80,34,150,2764,38,26,17,64,0,0,0,0,2,2,50,0,1597200000,85491000000,5118000000,3,4,0,4122,212,2995,64,3271,2087.577414595044,0.018682668351054497,319447155.5,75.0,74.0,Other,Non-NATO
Oman,3901992,42600,100000,10000,128,29,10,9,45,4,0,31,0,150,4084,24,140,0,22,0,0,0,0,0,5,12,0,8200000000,185960000000,17455000000,36,7,0,60230,159,4398,22,4579,1173.5031747886721,0.04409550440955044,1640015069.5,36.0,35.0,Other,Non-NATO
Kenya,58246378,50000,0,25000,156,17,0,21,31,2,0,85,2,188,4128,18,53,0,23,0,0,0,0,0,0,7,0,1307383850,314063000000,7342000000,370,4,3819,161452,241,4387,23,4651,79.8504586843151,0.004162807621400802,261494095.5,81.0,80.0,Other,Non-NATO
Chad,19093595,33250,0,5000,40,0,7,7,8,2,0,16,3,90,3316,10,10,20,0,0,0,0,0,0,0,0,0,381350000,32446000000,211591000,42,0,0,40000,56,3446,0,3502,183.41229087555277,0.01175337483819269,76281726.0,115.0,114.0,Other,Non-NATO
Yemen,32140443,66700,0,20000,84,27,12,2,15,0,0,30,7,0,550,0,15,10,33,0,0,0,0,0,1,12,1,810375000,67003300000,923361750,36,10,0,71300,114,575,33,722,22.463909411578427,0.012094553551839984,162095371.0,94.0,93.0,Other,Non-NATO
New Zealand,5161211,8670,3250,300,48,0,0,8,13,6,0,21,0,0,2114,0,31,0,8,0,0,0,0,2,0,4,0,3030000000,254770000000,15487000000,202,22,4128,94000,69,2145,8,2222,430.5191165406723,0.011893080032970915,606003712.0,61.0,60.0,Other,Non-NATO
Paraguay,7522549,15650,168500,15000,39,0,0,11,13,1,0,14,0,0,1108,0,25,0,72,0,0,0,0,0,0,63,0,17595000000,108022000000,9886000000,83,1,30,78811,53,1133,72,1258,167.23054911307324,0.16288348669715427,3519005324.0,24.0,23.0,Other,Non-NATO
Lithuania,2628186,23000,104000,14150,9,0,0,5,0,0,0,4,0,0,1263,21,54,0,14,0,0,0,0,0,0,7,4,2388900000,132712000000,6168000000,65,2,1911,84166,13,1338,14,1365,519.3696336560654,0.01800063294954488,477787582.5,66.0,65.0,Other,Non-NATO
Mozambique,33350954,11200,0,3000,22,8,0,4,1,1,0,8,2,30,872,0,52,6,33,0,0,0,0,0,0,33,0,412400000,50631000000,3515000000,92,11,4787,31083,30,960,33,1023,30.67378522365507,0.00814520748158243,82483871.5,110.0,109.0,Other,Non-NATO
Tunisia,12048847,89800,0,12000,154,10,0,11,28,4,0,101,0,90,7913,0,85,0,58,0,0,0,0,0,0,51,0,1400000000,153637000000,9240000000,14,16,2173,20000,255,8088,58,8401,697.245138891713,0.009112388291882814,280031140.5,79.0,78.0,Other,Non-NATO
Armenia,2976765,57500,210000,5000,71,4,15,3,13,0,0,36,20,109,1306,145,148,100,0,0,0,0,0,0,0,0,0,1700000000,57728000000,3607000000,11,0,686,7700,107,1808,0,1915,643.3158143152045,0.029448447893569846,340018207.5,74.0,73.0,Other,Non-NATO
Tanzania,67462121,27000,80000,6500,39,14,0,6,7,0,0,12,0,62,1072,0,0,0,12,0,0,0,0,0,0,10,0,1406745334,234050000000,5693050000,206,8,4097,145203,51,1134,12,1197,17.743290342146224,0.006010447912839137,281357765.3,78.0,77.0,Other,Non-NATO
Cameroon,30966105,40000,0,12500,35,0,0,6,6,2,0,21,0,0,430,18,52,20,51,0,0,0,0,0,0,51,0,554952283,138925000000,5754093000,37,7,987,77589,56,520,51,627,20.247945293733263,0.00399461783696239,111002770.10000001,102.0,101.0,Other,Non-NATO
Georgia,4900961,55000,152500,0,61,0,5,2,10,0,0,44,11,123,3392,67,121,42,19,0,0,0,0,0,0,31,4,495629055,83656000000,5002000000,19,3,1363,20295,105,3745,19,3869,789.4370104148962,0.005924608575595295,99144245.5,105.0,104.0,Other,Non-NATO
Cambodia,17063669,221000,0,10000,25,0,0,4,0,0,0,21,0,644,3627,30,430,463,20,0,0,0,0,0,0,20,0,860000000,85900000000,17801000000,13,2,642,47263,46,5194,20,5260,308.2572687034658,0.010011641443538999,172068930.0,92.0,91.0,Other,Non-NATO
